                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                0.58337,                0.39261,                 1.1817,                 0.9837,                0.97998,                 0.9931,                0.88318,                0.56012,                 0.2886,                 1.2238,             0.00039591,             0.00039591,             0.00039591
                     47,                0.58331,                0.39047,                  1.168,                 0.9824,                0.98016,                 0.9925,                  0.878,                0.56659,                0.30059,                 1.2292,             0.00038884,             0.00038884,             0.00038884
                     48,                0.59681,                0.40547,                 1.1665,                  0.983,                 0.9823,                0.99238,                0.88262,                0.56606,                0.28714,                 1.2246,             0.00038178,             0.00038178,             0.00038178
                     49,                0.58087,                  0.386,                 1.1615,                0.98671,                0.97914,                0.99347,                 0.8835,                0.55484,                0.27931,                 1.2159,             0.00037471,             0.00037471,             0.00037471
                     50,                 0.5894,                0.39917,                 1.1633,                 0.9837,                0.98348,                0.99288,                 0.8823,                0.55732,                 0.2892,                 1.2154,             0.00036764,             0.00036764,             0.00036764
                     51,                0.58145,                0.38769,                 1.1537,                0.98732,                0.98006,                0.99305,                0.87878,                0.56653,                0.28857,                 1.2304,             0.00036057,             0.00036057,             0.00036057
                     52,                0.57694,                0.38727,                 1.1594,                0.97999,                0.98293,                0.99303,                0.88187,                0.56238,                0.28156,                 1.2292,              0.0003535,              0.0003535,              0.0003535
                     53,                0.56847,                0.36638,                 1.1701,                0.98641,                0.97348,                0.99238,                0.88383,                0.55655,                0.28305,                 1.2154,             0.00034643,             0.00034643,             0.00034643
                     54,                0.59205,                0.37999,                 1.1576,                0.98852,                0.97951,                0.99259,                0.87924,                 0.5618,                0.28497,                  1.226,             0.00033936,             0.00033936,             0.00033936
                     55,                0.55684,                  0.356,                  1.148,                0.98192,                0.98092,                 0.9928,                0.88285,                0.55947,                0.28263,                  1.215,              0.0003323,              0.0003323,              0.0003323
                     56,                0.57437,                0.37302,                 1.1615,                 0.9875,                0.97702,                0.99218,                 0.8864,                0.55225,                0.27587,                 1.2139,             0.00032523,             0.00032523,             0.00032523
                     57,                0.56306,                0.35674,                 1.1315,                0.98511,                0.97535,                0.99271,                0.88496,                0.55718,                0.28272,                 1.2225,             0.00031816,             0.00031816,             0.00031816
                     58,                0.57006,                0.36135,                  1.142,                0.98239,                0.97898,                0.99214,                 0.8834,                0.55574,                0.28041,                 1.2237,             0.00031109,             0.00031109,             0.00031109
                     59,                0.55538,                0.36523,                 1.1372,                0.98531,                0.97639,                 0.9919,                0.88754,                0.55015,                0.27815,                 1.2133,             0.00030402,             0.00030402,             0.00030402
                     60,                 0.5413,                0.35414,                 1.1247,                 0.9849,                0.98108,                0.99245,                0.88986,                0.54671,                0.27166,                 1.1997,             0.00029695,             0.00029695,             0.00029695
                     61,                0.53981,                0.34739,                 1.1367,                0.98579,                0.98196,                0.99247,                0.88593,                0.55092,                0.27337,                 1.2082,             0.00028988,             0.00028988,             0.00028988
                     62,                0.57436,                0.36658,                 1.1564,                 0.9798,                0.98363,                0.99303,                0.88837,                0.55031,                0.27079,                 1.2102,             0.00028282,             0.00028282,             0.00028282
                     63,                0.56374,                0.36031,                  1.152,                0.98493,                0.97671,                0.99255,                0.88579,                0.54843,                0.27299,                  1.207,             0.00027575,             0.00027575,             0.00027575
                     64,                0.56217,                0.35232,                 1.1541,                0.98854,                0.98329,                0.99266,                0.88684,                0.55529,                0.27411,                 1.2144,             0.00026868,             0.00026868,             0.00026868
                     65,                0.55836,                0.34589,                 1.1333,                0.98665,                0.98116,                0.99259,                0.88808,                 0.5497,                0.26851,                 1.2103,             0.00026161,             0.00026161,             0.00026161
                     66,                0.53983,                0.34102,                 1.1376,                0.98594,                0.98097,                0.99285,                0.88855,                0.55059,                0.26973,                 1.2079,             0.00025454,             0.00025454,             0.00025454
                     67,                0.54308,                0.35025,                 1.1348,                0.98674,                0.97975,                0.99207,                0.88832,                0.54483,                0.27139,                  1.194,             0.00024747,             0.00024747,             0.00024747
                     68,                0.54151,                0.33646,                 1.1131,                 0.9861,                0.98245,                0.99299,                0.88756,                0.54902,                0.26587,                 1.2089,              0.0002404,              0.0002404,              0.0002404
                     69,                0.55677,                0.34577,                 1.1377,                0.98485,                0.98362,                0.99223,                0.88625,                0.55123,                0.26635,                 1.2125,             0.00023334,             0.00023334,             0.00023334
                     70,                0.55906,                0.33824,                  1.115,                0.98782,                 0.9836,                0.99237,                0.88664,                0.54807,                0.26349,                 1.2096,             0.00022627,             0.00022627,             0.00022627
                     71,                0.54239,                0.34287,                 1.1138,                0.98666,                0.98079,                0.99187,                0.88964,                0.54465,                0.26534,                 1.1978,              0.0002192,              0.0002192,              0.0002192
                     72,                0.54711,                0.34255,                 1.1312,                0.98638,                0.98314,                0.99309,                 0.8899,                 0.5485,                 0.2617,                 1.2077,             0.00021213,             0.00021213,             0.00021213
                     73,                 0.5483,                0.34593,                 1.1392,                0.98804,                0.98244,                 0.9928,                0.88762,                0.54536,                0.26586,                 1.2039,             0.00020506,             0.00020506,             0.00020506
                     74,                0.53811,                0.33558,                 1.1217,                0.98783,                0.98558,                0.99264,                0.88796,                0.54998,                0.26511,                 1.2079,             0.00019799,             0.00019799,             0.00019799
                     75,                0.54966,                0.33607,                 1.1178,                0.98826,                0.98305,                0.99295,                0.89023,                0.54548,                0.26114,                 1.2071,             0.00019092,             0.00019092,             0.00019092
                     76,                0.53194,                0.32284,                 1.1081,                0.98677,                0.98646,                0.99247,                 0.8903,                0.54863,                0.26364,                 1.2055,             0.00018385,             0.00018385,             0.00018385
                     77,                0.54277,                0.33339,                 1.1265,                0.98816,                0.98511,                0.99308,                0.88962,                0.55044,                0.26253,                 1.2125,             0.00017679,             0.00017679,             0.00017679
